Sample_Code,Description,Date,Plot,Sample_Category,Filter045_ml,Filter022_ml,DNA_TotalReads_STD,DNA_TotalReads_NonSTD,DNA_CopySum,Standard_curve_validity_16S,Standard_curve_validity_18S,Standard_curve_validity_ITS,Standard_curve_validity_COI,DADA2_Input_16S,DADA2_Input_18S,DADA2_Input_ITS,DADA2_Input_COI,DADA2_OutputProp_16S,DADA2_OutputProp_18S,DADA2_OutputProp_ITS,DADA2_OutputProp_COI,DNA_CopySum_16S,DNA_CopySum_18S,DNA_CopySum_ITS,DNA_CopySum_COI
S098,P1-8_28,2017-08-28,1,sample,100,30,20959,20423,2189425.258180046,Valid,Valid,Valid,Valid,7094,13823,10701,15770,0.8480405976881872,0.9939955147218404,0.7642276422764228,0.8527584020291693,2156929.243101588,27603.72434698641,4581.953096077391,310.33763539430197
S099,P1-8_29,2017-08-29,1,sample,100,30,20612,20898,2647745.936163203,Valid,Valid,Valid,Valid,7079,15690,11831,13573,0.8246927532137307,0.9898661567877629,0.7538669596821909,0.8267884771237015,2604532.706425802,36811.052429491494,6187.43961352657,214.73769438245455
S100,P1-8_30,2017-08-30,1,sample,100,30,18275,19039,1006523.7405923489,Valid,Valid,Valid,Valid,6335,12973,5750,16760,0.8322020520915548,0.9946041779079627,0.7467826086956522,0.8857398568019093,982413.0255471568,21467.411442464523,1714.1867590249105,929.1168437025797
S101,P1-8_31,2017-08-31,1,sample,100,30,19568,28534,3272648.812486203,Valid,Valid,Valid,Valid,7725,18845,17029,12448,0.8490614886731391,0.9867338816662244,0.7037994010217864,0.8807037275064268,3222807.826602543,37654.231640759506,11698.573611250516,488.18063165035795
S102,P1-9_1,2017-09-01,1,sample,100,30,17082,27051,3286825.9197760206,Valid,Valid,Valid,Valid,6550,13529,20657,15136,0.7042748091603054,0.981669007317614,0.632473253618628,0.8703752642706131,3226897.689768977,45943.874405797484,13636.19940941463,348.1561918315363
S103,P1-9_2,2017-09-02,1,sample,100,30,12534,24098,2706795.369733152,Valid,Valid,Valid,Valid,7061,9529,15377,12845,0.72978331681065,0.9870920348410116,0.684593873967614,0.8988711560918645,2677343.078245916,18309.104178242997,9708.53451790811,1434.6527910850373
S104,P1-9_3,2017-09-03,1,sample,100,30,16259,29290,2886876.686011339,Valid,Valid,Valid,Valid,7067,10725,22571,16381,0.7952455072873921,0.9882517482517482,0.7066589871959594,0.8167999511629327,2849462.365591398,27334.435950093437,9374.404107077373,705.480362769964
S105,P1-9_4,2017-09-04,1,sample,100,30,22236,23951,2642886.3927410496,Valid,Valid,Valid,Valid,9642,12554,13331,16017,0.8083385189794648,0.9890074876533376,0.7697847123246568,0.9811450334020103,2610240.553023962,25455.221722787373,6940.638798687353,249.97919561324645
S106,P1-9_5,2017-09-05,1,sample,100,30,19149,17066,1980379.9936219568,Valid,Valid,Valid,Valid,6325,10805,9850,12949,0.8347826086956521,0.9913003239241092,0.7941116751269035,0.9577573557803691,1969483.181435526,7307.206779095372,3056.9771409075393,532.6282664279368
S107,P1-9_6,2017-09-06,1,sample,100,30,11513,35765,5991722.790442644,Valid,Valid,Valid,Valid,7751,10647,21372,14571,0.8429880015481873,0.9851601390062928,0.7513569155904922,0.9743325784091689,5902466.914107899,78145.00526076963,9776.302261823166,1334.5688121521757
