"eDNA_code","qpcr_16s_ml","quantit_ng_ml","qmiseq_total_ml","qmiseq_16s_ml","std_16s_r2","std_16s_coef","miseq_16s_reads","plot","sample_nc"
"17_0525_3",22161676.67,3.201622583,875024,831383,0.983061307,0.019088679,4761,3,"sample"
"17_0526_3",27165720,6.033026533,671658,606109,0.984575556,0.025358491,4611,3,"sample"
"17_0527_3",16932041.67,1.92160555,541954,502258,0.989087909,0.034842642,5250,3,"sample"
"17_0528_3",8968441.667,3.749947597,919239,621332,0.986374506,0.025836981,4816,3,"sample"
"17_0529_3",2791631.667,3.475803987,457814,365453,0.994999302,0.044501887,4879,3,"sample"
"17_0530_3",13170488.33,3.402692647,969840,727968,0.985989862,0.029099245,6355,3,"sample"
"17_0531_3",9282526.667,4.40773889,1279838,813658,0.984244137,0.026575472,6487,3,"sample"
"17_0601_3",NA,0.219709347,23128,19724,0.994417661,0.073516226,435,3,"sample"
"17_0602_3",14827621.67,6.179056437,1435317,821750,0.977885428,0.029607547,7299,3,"sample"
"17_0603_3",13176425,11.8845554,1137784,673969,0.989534183,0.032434717,6558,3,"sample"
"17_0604_3",10653610,9.95403912,1187685,483260,0.989998259,0.049062642,7113,3,"sample"
"17_0605_3",13791531.67,11.55685121,1394449,770550,0.988484056,0.033932453,7844,3,"sample"
"17_0606_3",14043526.67,13.70426206,1680805,1259835,0.978388396,0.017941509,6781,3,"sample"
"17_0607_3",13966555,20.20722909,2243638,1801836,0.985478061,0.017515472,9468,3,"sample"
"17_0608_3",10735826.67,7.89413749,1367654,1294365,0.989001081,0.021506038,8351,3,"sample"
"17_0609_3",6721841.667,9.826492093,1263384,1215075,0.993583576,0.02506566,9137,3,"sample"
"17_0610_3",6774070,6.94554397,957719,846071,0.988556834,0.030647547,7779,3,"sample"
"17_0611_3",5445948.333,4.773085483,926607,708973,0.986801557,0.024340377,5177,3,"sample"
"17_0612_3",2691326.667,2.927403247,1225233,979641,0.991826154,0.025356226,7452,3,"sample"
"17_0613_3",4871985,3.804771793,820635,728522,0.990192707,0.035542264,7768,3,"sample"
"17_0614_3",4087576.667,4.298121987,1097514,910668,0.982110952,0.02747434,7506,3,"sample"
"17_0615_3",6939886.667,6.854310327,1206031,1055117,0.998807839,0.015647547,4953,3,"sample"
"17_0616_3",15102461.67,10.48236836,2287013,2091543,0.98395534,0.013100377,8220,3,"sample"
"17_0617_3",13425515,10.31841785,1471899,1426886,0.98951982,0.017118868,7328,3,"sample"
"17_0618_3",15044531.67,17.92047362,1966987,1872283,0.992662416,0.013261887,7449,3,"sample"
"17_0619_3",7719993.333,9.17041674,1978427,1763512,0.983012608,0.016695849,8833,3,"sample"
"17_0620_3",14668500,7.875899357,2613122,2444614,0.993162646,0.013691321,10041,3,"sample"
"17_0621_3",7827388.333,6.10604278,1164511,1104536,0.985438287,0.023699245,7853,3,"sample"
"17_0622_3",17997905,4.51734982,1109570,1045259,0.991367017,0.024140755,7570,3,"sample"
"17_0623_3",17337206.67,3.384414393,674985,634483,0.995966186,0.046667925,8883,3,"sample"
"17_0624_3",74225075,6.94554397,1154016,1057292,0.988342596,0.033875849,10745,3,"sample"
"17_0625_3",82223851.67,12.79459235,1620971,1448616,0.9947022,0.025958113,11281,3,"sample"
"17_0626_3",147260230,9.152189563,2066470,1808380,0.98427027,0.019689811,10682,3,"sample"
